strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
ED3011,1,ED3011,NA,1,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-11-11,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,TRUE,,,,
ED3012,1,ED3012,NA,1,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-11-26,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,TRUE,,,,
ED3014,0,ED3012,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden,Scotland,United Kingdom,,,,,,,,
ED3015,0,ED3012,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,,,,,
ED3017,1,ED3017,NA,1,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden,Scotland,United Kingdom,TRUE,,,,,,,
ED3019,0,ED3017,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,,,,,
ED3020,0,ED3017,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,,,,,
ED3021,0,ED3005,NA,1,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,,,,,
ED3023,0,ED3012,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 1 plot 39),Scotland,United Kingdom,,,,,,,,
ED3024,0,ED3012,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 2 plot 43),Scotland,United Kingdom,,,,,,,,
ED3028,0,ED3012,NA,0,,20160408,VX,,,,55.92,-3.19,Urban garden,Compost,compost bin,,,,,NA,A. Cutter,A. Cutter,2004-12-03,NA,isolated from Midmar Allotment public vegetable garden (field 2 plot 43),Scotland,United Kingdom,,,,,,,,
ED3040,1,ED3040,NA,1,,20160408,VX,,,,-26.166667,28.016667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-05,NA,"Isolated from compost from Jenny Pettifor's garden in the Paview neighborhood in Johannesburg, South Africa",Gauteng,South Africa,,TRUE,,,,,,
ED3042,0,ED3048,NA,1,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-05,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa,,,,,,,,
ED3043,0,ED3052,NA,0,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-04-02,NA,NA,Western Cape,South Africa,,,,,,,,
ED3046,1,ED3046,NA,1,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-05,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa,,,TRUE,,,,,
ED3048,1,ED3048,NA,1,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-04-02,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa,,TRUE,,,,,,
ED3049,1,ED3049,NA,1,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-04-02,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa,,TRUE,,,,,,
ED3052,1,ED3052,NA,1,,20160408,VX,,,,-33.366667,19.316667,Urban garden,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-05,NA,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres,Western Cape,South Africa,,TRUE,,,,,,
ED3057,0,ED3073,NA,1,,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-17,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya; altitude 2356m",Kiambu County,Kenya,,,,,,,,
ED3072,0,ED3073,NA,1,,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-17,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya;  altitude 2356m",Kiambu County,Kenya,,,,,,,,
ED3073,1,ED3073,NA,1,,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-17,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya;  altitude 2356m",Kiambu County,Kenya,,,TRUE,,,,,
ED3075,0,ED3073,NA,0,,20160408,VX,,,,-1.083333,36.65,Agricultural land,Compost,compost heap,,,,,NA,E. Dolgin,E. Dolgin,2006-05-17,NA,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya;  altitude 2356m",Kiambu County,Kenya,,,,,,,,
ED3077,1,ED3077,NA,1,,20160408,VX,,,,-1.316667,36.8,Botanical garden zoo,Leaf litter,leaf litter,,,,,NA,E. Dolgin,E. Dolgin,2006-05-17,NA,solated from leaf litter from the Uhuru Gardens public park in the south part,Nairobi County,Kenya,,,TRUE,,,,,
EG4346,0,EG4347,NA,0,,20160408,EG,,,,44.04789,-123.07108,Urban garden,Rotting fruit,rotting tomatoes,,,,,NA,M. Ailion,M. Ailion,2006-10-09,NA,NA,Oregon,United States,,,,,,,,
EG4347,1,EG4347,NA,1,,20160408,EG,,,,44.04789,-123.07108,Urban garden,Rotting fruit,"rotting fruit, tomato",,,,,NA,M. Ailion,M. Ailion,2006-10-09,NA,NA,Oregon,United States,,,,TRUE,,,,
EG4348,0,EG4349,NA,1,,20160408,EG,,,,40.77167,-111.87316,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,M. Ailion,2006-10-02,NA,NA,Utah,United States,,,,,,,,
EG4349,1,EG4349,NA,1,,20160408,EG,,,,40.771467,-111.87316,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,M. Ailion,2006-10-02,NA,NA,Utah,United States,,,TRUE,,,,,
EG4680,0,EG4946,NA,0,,20160408,EG,,,,40.7073,-111.8675,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,W. Davis,2007-10-04,NA,NA,Utah,United States,,,,,,,,
EG4689,0,EG4946,NA,0,,20160408,EG,,,,40.7073,-111.8675,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,W. Davis,2007-10-04,NA,NA,Utah,United States,,,,,,,,
EG4724,1,EG4724,NA,1,,20160408,EG,,,,41.6288,-8.3476,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,M. Ailion,2007-03-28,NA,NA,Braga,Portugal,,,,TRUE,,,,
EG4725,1,EG4725,NA,1,,20160408,EG,,,,41.6288,-8.3476,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Ailion,M. Ailion,2007-03-28,NA,NA,Braga,Portugal,TRUE,,,,,,,
EG4945,0,EG4946,NA,0,,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",,,,,NA,M. Ailion,G. Hollopeter,2007-09-27,NA,NA,Utah,United States,,,,,,,,
EG4946,1,EG4946,NA,1,,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",,,,,NA,M. Ailion,G. Hollopeter,2007-09-27,NA,NA,Utah,United States,,,,TRUE,,,,
EG4948,0,EG4946,NA,0,,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",,,,,NA,M. Ailion,G. Hollopeter,2007-09-27,NA,NA,Utah,United States,,,,,,,,
EG4951,0,EG4946,NA,0,,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",,,,,NA,M. Ailion,G. Hollopeter,2007-10-09,NA,NA,Utah,United States,,,,,,,,
EG4957,0,EG4946,NA,0,,20160408,EG,,,,40.72596,-111.82184,Agricultural land,Rotting nut,"rotting nuts, walnuts",,,,,NA,M. Ailion,G. Hollopeter,2007-10-09,NA,NA,Utah,United States,,,,,,,,
GXW1,1,GXW1,NA,1,,20160408,VX,,,,30.542889,114.419828,Urban garden,Rotting fruit,soil under kiwi fruit in botanical garden,,,,,NA,G. Wang,G. Wang,2010-11-05,NA,soil under kiwi fruit in botanical garden,Hubei Sheng,China,,,,TRUE,,,,
JT11362,0,JT11398,NA,0,,20160408,JT,,,,47.763944,-122.275484,Urban garden,Compost,worm bin,,,,,NA,J. Kemner,J. Kemner,2003-05-01,NA,"Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males.",Washington,United States,,,,,,,,
JT11398,1,JT11398,NA,1,,20160408,JT,,,,47.763944,-122.275484,Urban garden,Compost,worm bin,,,,,NA,J. Kemner,J. Kemner,2003-12-01,NA,"Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males.",Washington,United States,TRUE,,,,,,,
JT11399,0,JT11398,NA,0,,20160408,JT,,,,47.763944,-122.275484,Urban garden,Compost,worm bin,,,,,NA,J. Kemner,J. Kemner,2003-12-01,NA,"Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males.",Washington,United States,,,,,,,,
JU1026,0,JU310,PIB1,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,rotting plums,,,,,NA,M.-A. Félix,M.-A. Félix,2006-10-15,NA,"Isolated from rotting plums sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 16 Oct 2006.",Centre,France,,,,,,,,
JU1037,0,JU310,PIF2,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,rotting plums,,,,,NA,M.-A. Félix,M.-A. Félix,2006-10-15,NA,"Isolated from rotting plums sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 16 Oct 2006.",Centre,France,,,,,,,,
JU1039,0,JU310,PrA4,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,rotting pears,,,,,NA,M.-A. Félix,M.-A. Félix,2006-10-15,NA,"Isolated from rotting pears sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as a (sick, only one progeny) adult on 18 Oct 2006.",Centre,France,,,,,,,,
JU1040,0,JU310,PrB1,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,rotting pears,,,,,NA,M.-A. Félix,M.-A. Félix,2006-10-15,NA,"Isolated from rotting pears sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 18 Oct 2006.",Centre,France,,,,,,,,
JU1088,1,JU1088,J14B1,1,,20160408,JU,,,,34.7613,138.0149,Botanical garden zoo,Soil,soil,,,,,NA,M.-A. Félix,M.-A. Félix,2007-03-14,NA,"Isolated by MAF from soil sampled on 14 March 2007 in the Kacho-en aviary in Kakegawa, Shizuoka prefecture, Japan. May not be independent from JU1083; was contaminated with a Microbacterium nematophilum-like phenotype (frozen in Q47).",Shizuoka-ken,Japan,,TRUE,,,,,,
JU1171,0,MY23,C1.2.1,0,,20160408,JU,,,,-36.82,-72.99,NA,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2007-04-01,only month/year (April 2007) is known,"Isolated from a compost sample collected in April 2007 in Concepcion, Chile, in the Palomares area, 2 km NE of the town.",Bío Bío Region,Chile,,,,,,,,
JU1172,1,JU1172,C6.2.1,1,,20160408,JU,,,,-36.87,-73.04,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2007-04-01,only month/year (April 2007) is known,"Isolated from a sample of soil (compost) in a pot with rotting tomatoes collected in April 2007 in Concepcion, Chile, in the Villuco area, 3 km SE of the town.",Región del Bío Bío,Chile,,TRUE,,,,,,
JU1200,1,JU1200,TP,1,,20160408,JU,,,,55.577,-4.6,Rural garden,Compost,compost heap,,,,,NA,T. Page,T. Page,2007-08-01,NA,Isolated by Tony Page from a compost heap sample recovered on 1 Aug 2007 in SouthWest Scotland 4°36.0’ West 55°34.6’ North.,Scotland,United Kingdom,,,TRUE,,,,,
JU1204,0,JU310,L1A1A,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,"rotting fruit, plum",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-11,NA,"Isolated by MAF from a rotting plum collected by M. and B. Félix on 11 Sep 07 below the plum tree above the compost heap in Le Blanc, France. Same plum as JU1205-6, same plum tree as JU1026-1037.",Centre,France,,,,,,,,
JU1206,0,JU310,L1A3G,0,,20160408,JU,,,,46.63,1.06,NA,Rotting fruit,"rotting fruit, plum",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-11,NA,"Isolated by MAF from a rotting plum collected by M. and B. Félix on 11 Sep 07 below the plum tree above the compost heap in Le Blanc, France. Same plum as JU1204-5, same plum tree as JU1026-1037.",Centre,France,,,,,,,,
JU1207,0,JU1212,1.1.1,0,,20160408,JU,,,,48.71,-3.81,Rural garden,Rotting flower,"rotting stem, Arum maculata",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-24,NA,"Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.",Brittany,France,,,,,,,,
JU1212,1,JU1212,1.4.1,1,,20160408,JU,,,,48.71,-3.81,Rural garden,Rotting flower,"rotting stem, Arum maculata",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-24,NA,"Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.",Bretagne,France,,,TRUE,,,,,
JU1213,1,JU1213,6.2.1,1,,20160408,JU,,,,48.71,-3.81,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-24,NA,"Isolated by MAF from a rotting apple collected on 24 Sep 07 in Primel, France.",Bretagne,France,,TRUE,,,,,,
JU1214,0,JU1212,H.2.1,0,,20160408,JU,,,,48.71,-3.81,Rural garden,Snail,"live mollusk, snail",,,,,NA,M.-A. Félix,M.-A. Félix,2007-09-24,NA,"Isolated by MAF from a Helix snail collected on 24 Sep 07 in the wild strawberry patch below the house in Primel, France.",Brittany,France,,,,,,,,
JU1218,0,JU1242,6.1.1,0,,20160408,JU,,,,49.1269,1.9595,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,"Isolated from a rotting apple (#6) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 (same 'wild-growing' apple tree in hedge as apple #7, which had disappeared in 2009). L1 stage on 15 Oct. Not bleached.",Île-de-France,France,,,,,,,,
JU1230,0,JU1242,7.1.1,0,,20160408,JU,,,,49.1269,1.9595,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,"Isolated from a rotting apple (#7) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 ((same 'wild-growing' apple tree in hedge as apple #6, which has been removed as of 2009). Adult stage on 15 Oct. Not bleached.",Île-de-France,France,,,,,,,,
JU1242,1,JU1242,F2,1,,20160408,JU,,,,49.1269,1.9595,Rural garden,Slug,"live mollusk, slug",,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,"Isolated from a small black slug (Deroceras?) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Not bleached.",Île-de-France,France,,TRUE,,,,,,
JU1243,0,JU1242,D2,0,,20160408,JU,,,,49.1269,1.9595,Rural garden,Slug,"live mollusk, slug",,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,"Isolated from a small beige slug (Deroceras?) (same individual as JU1243, JU1244) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Young adult on 17 Oct. Bleached. Keep at 15°C.",Île-de-France,France,,,,,,,,
JU1246,1,JU1246,14.1.1,1,,20160408,JU,,,,49.12618,1.96152,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,"Isolated from a rotting apple (#14) collected above Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07. Egl adult on 15 Oct. Bleached.",Île-de-France,France,,,TRUE,,,,,
JU1249,1,JU1249,14.1.5,1,,20170531,JU,,,,49.126,1.951,Rural garden,Rotting fruit,rotting fruit: apple,,,,,NA,M.-A. Félix,M.-A. Félix,2007-10-14,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU1395,1,JU1395,E121,1,,20160408,JU,,,,47.2199,0.04619,Agricultural land,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-01,NA,"Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394.",Pays de la Loire,France,,,,TRUE,,,,
JU1400,1,JU1400,E2.9.1,1,,20160408,JU,,,,37.3845,-5.988,Rural garden,Rotting fruit,"rotting fruit, orange",,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-29,NA,"Isolated from rotting orange fruits, Garden Catalina de Ribera, Sevilla, Spain sampled on 29 Mar 08 by MAF. Not bleached.",Andalucía,Spain,,,TRUE,,,,,
JU1401,0,JU1409,E6.4.1,1,,20160408,JU,,,,37.4721,-5.6331,Rural garden,Snail,"live mollusk, snail",,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-31,NA,"Isolated from Rumina decollata snail #4, sampled in front of the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 9 Apr 08.",Andalusia,Spain,,,,,,,,
JU1409,1,JU1409,E7.6.1,1,,20160408,JU,,,,37.468,-5.637,Rural garden,Rotting fruit,"rotting fruit, Opuntia ficus-indica",,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-31,NA,"Isolated from rotting Opuntia ficus-indica cactus fruit, sampled next to the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF (approx. 400 m from JU1400-8). Plated 3 Apr 08. Isolated as adult on 4 Apr 08 (large population). Not bleached, contaminants kept.",Andalucía,Spain,,TRUE,,,,,,
JU1410,0,JU1409,E7.51.1,0,,20160408,JU,,,,37.468,-5.637,Rural garden,Snail,retracted snail,,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-31,NA,"Isolated from retracted snail #51 fixed on Opuntia ficus-indica cactus, sampled on the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF). Plated 3 Apr 08. Isolated as adult on 7 Apr 08. Not bleached.",Andalusia,Spain,,,,,,,,
JU1411,0,JU1409,E7.55.1,0,,20160408,JU,,,,37.468,-5.637,Rural garden,Snail,"live mollusk, snail",,,,,NA,M.-A. Félix,M.-A. Félix,2008-03-31,NA,"Isolated from snail #55 in Opuntia ficus-indica cactus, sampled on the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 5 Apr 08 (on plate where washed, live snail was placed on day 1). Bleached.",Andalusia,Spain,,,,,,,,
JU1440,1,JU1440,B7.2.1,1,,20160408,JU,,,,41.41307,2.15231,Urban garden,Rotting fruit,"rotting fruit, palm",,,,,NA,M.-A. Félix,M.-A. Félix,2008-06-09,NA,"Isolated from rotting palm fruit sampled by MAF on 9 June 2008 in the Park Guëll, Barcelona, Spain. Picked as young adult on 11 June 2008.",Catalunya,Spain,,TRUE,,,,,,
JU1482,0,JU1213,P6.1.3,0,,20160408,JU,,,,48.705,-3.7952,Wet shrubland,Leaf litter,"rotting plant, Tamus communis leaves",,,,,NA,M.-A. Félix,M.-A. Félix,2008-08-02,NA,"Isolated from rotting Tamus communis leaves sampled on 2 August 2008 below Sainte-Barbe, Plougasnou (Finistère). Dense proliferating population at plating on 6 Aug 2008. Adult isolated on 7 Aug.",Brittany,France,,,,,,,,
JU1484,0,JU1491,B10S1,0,,20160408,JU,,,,46.63,1.06,Forest,Rotting stem,"rotting stem, Arum maculata",,,,,NA,M.-A. Félix,M.-A. Félix,2008-08-17,NA,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L2 larva on 18 Aug.",Centre,France,,,,,,,,
JU1491,1,JU1491,B10S8,1,,20160408,JU,,,,46.63,1.06,Forest,Rotting stem,"rotting stem, Arum maculata",,,,,NA,M.-A. Félix,M.-A. Félix,2008-08-17,NA,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",Centre,France,,,,TRUE,,,,
JU1511,0,JU1581,O11.2.1,0,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-09,NA,"Isolated from a rotting apple O11 (tree “Calville du Roi”), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult ca. 20:00.",Île-de-France,France,,,,,,,,
JU1516,0,JU1581,O13.1.1,1,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-09,NA,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",Île-de-France,France,,,,,,,,
JU1522,0,JU1581,O14.2.1,0,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-09,NA,"Isolated from a rotting apple O14 (tree “Chailleux”, ca. 6 m from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",Île-de-France,France,,,,,,,,
JU1530,1,JU1530,O21.1.1,1,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-09,NA,"Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",Île-de-France,France,,,TRUE,,,,,
JU1543,1,JU1543,O28.1.1,1,,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-08,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU1563,0,CB4852,O40.3.2,0,,20160408,JU,,,,48.7006,2.1804,Rural garden,Rotting flower,"rotting stem, Petasites hybridus",,,,,NA,M.-A. Félix,M.-A. Félix,2008-09-09,NA,"Isolated from rotting Petasites hybridus (bog rhubarb) stem/leaves, sampled in Orsay on 9 Sep 2008 ca.15:30, plated ca. 18:00, picked as adult on 11 Sep.",Île-de-France,France,,,,,,,,
JU1566,0,JU1568,I4.1.1,0,,20160408,JU,,,,48.8092,2.3862,Urban garden,Rotting stem,"rotting stem, Petasites hybridus",,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-05,NA,"Isolated from a rotting Petasites stem (#I4) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",Île-de-France,France,,,,,,,,
JU1568,1,JU1568,I5.1.1,1,,20160408,JU,,,,48.8092,2.3862,Urban garden,Rotting stem,"rotting stem, Petasites hybridus",,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-05,NA,"Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",Île-de-France,France,,TRUE,,,,,,
JU1580,1,JU1580,O87.15,1,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-06,NA,"Isolated from rotting apple O87 (Calville Rouge d’Oullins) sampled by MAF in the Orsay (Essonne, France) orchard on 6 Oct 2008. Plated on 6 Oct, isolated as a L4 on 7 Oct.",Île-de-France,France,,,TRUE,,,,,
JU1581,1,JU1581,O134.10,1,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-23,NA,"Isolated from rotting apple O134 (Calville d’Août) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L2d on 23 Oct.",Île-de-France,France,,TRUE,,,,,,
JU1582,0,JU1581,O143.9,0,,20160408,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-23,NA,"Isolated from rotting apple O143 (Pouzac variety) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a pale adult on 24 Oct.",Île-de-France,France,,,,,,,,
JU1586,1,JU1586,B41.1,1,,20160408,JU,,,,46.63,1.06,Rural garden,Rotting fruit,"rotting fruit, grape",,,,,NA,M.-A. Félix,M.-A. Félix,2008-11-03,NA,"Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.",Centre,France,,,TRUE,,,,,
JU1652,1,JU1652,UY1.1,1,,20160408,JU,,,,-34.86,-56.19,Urban garden,Compost,compost heap,,,,,NA,NA,R. Giordano,2009-01-01,NA,"Isolated from compost sampled in Montevideo, Uruguay",Departamento de Montevideo,Uruguay,,,,TRUE,,,,
