N	eigenvalue	difference	twstat	p-value	effect.n
169	0.460475	-0.001844	-12.419	1	1180.989
170	0.458444	-0.002031	-12.314	1	1177.640
171	0.449838	-0.008606	-13.394	1	1174.350
172	0.448603	-0.001235	-13.177	1	1169.653
173	0.446625	-0.001978	-13.088	1	1165.138
174	0.443134	-0.003491	-13.273	1	1160.650
175	0.442593	-0.000541	-12.929	1	1155.850
176	0.436678	-0.005915	-13.553	1	1151.394
177	0.434225	-0.002453	-13.566	1	1146.077
178	0.432991	-0.001234	-13.359	1	1140.655
179	0.431339	-0.001652	-13.223	1	1135.399
180	0.429393	-0.001946	-13.138	1	1130.223
181	0.424550	-0.004843	-13.581	1	1125.064
182	0.423000	-0.001550	-13.436	1	1119.252
183	0.421735	-0.001265	-13.236	1	1113.527
184	0.418487	-0.003248	-13.394	1	1107.963
185	0.413967	-0.004520	-13.791	1	1102.098
186	0.411514	-0.002453	-13.821	1	1095.630
187	0.411018	-0.000496	-13.494	1	1089.023
188	0.404910	-0.006107	-14.189	1	1082.731
189	0.403480	-0.001430	-14.045	1	1075.456
190	0.400146	-0.003334	-14.247	1	1068.257
191	0.395888	-0.004258	-14.625	1	1060.698
192	0.393502	-0.002386	-14.670	1	1052.566
193	0.389930	-0.003572	-14.934	1	1044.272
194	0.388825	-0.001105	-14.753	1	1035.552
195	0.387211	-0.001614	-14.662	1	1026.943
196	0.386176	-0.001035	-14.464	1	1018.337
197	0.385378	-0.000798	-14.218	1	1009.867
198	0.383779	-0.001599	-14.112	1	1001.594
199	0.381862	-0.001917	-14.062	1	993.343
200	0.378907	-0.002955	-14.199	1	985.043
201	0.377384	-0.001523	-14.081	1	976.453
202	0.374987	-0.002397	-14.118	1	967.900
203	0.373493	-0.001493	-13.994	1	959.182
204	0.371971	-0.001522	-13.873	1	950.507
205	0.368608	-0.003363	-14.079	1	941.871
206	0.366854	-0.001753	-14.003	1	932.849
207	0.365218	-0.001636	-13.904	1	923.806
208	0.363968	-0.001251	-13.734	1	914.772
209	0.362950	-0.001017	-13.519	1	905.839
210	0.361983	-0.000968	-13.289	1	897.069
211	0.360579	-0.001404	-13.131	1	888.485
212	0.358922	-0.001657	-13.015	1	879.989
213	0.356880	-0.002042	-12.964	1	871.526
214	0.354436	-0.002444	-12.983	1	863.003
215	0.352518	-0.001919	-12.910	1	854.322
216	0.349916	-0.002602	-12.957	1	845.610
217	0.348203	-0.001713	-12.849	1	836.698
218	0.346464	-0.001739	-12.743	1	827.804
219	0.344638	-0.001826	-12.649	1	818.924
220	0.344125	-0.000513	-12.324	1	810.040
221	0.341150	-0.002975	-12.419	1	801.490
222	0.337095	-0.004056	-12.707	1	792.657
223	0.335032	-0.002063	-12.657	1	783.263
224	0.334358	-0.000673	-12.364	1	773.800
225	0.332110	-0.002249	-12.337	1	764.620
226	0.329872	-0.002238	-12.307	1	755.334
227	0.328657	-0.001214	-12.100	1	745.945
228	0.326540	-0.002117	-12.042	1	736.717
229	0.326404	-0.000136	-11.644	1	727.423
230	0.325054	-0.001350	-11.441	1	718.589
231	0.323225	-0.001830	-11.314	1	709.916
232	0.320045	-0.003179	-11.412	1	701.287
233	0.316051	-0.003994	-11.653	1	692.336
234	0.313624	-0.002428	-11.637	1	682.841
235	0.311439	-0.002184	-11.581	1	673.208
236	0.309295	-0.002145	-11.516	1	663.502
237	0.306487	-0.002808	-11.560	1	653.733
238	0.305477	-0.001009	-11.306	1	643.730
239	0.304169	-0.001308	-11.094	1	633.964
240	0.302866	-0.001304	-10.874	1	624.371
241	0.299267	-0.003598	-11.026	1	614.968
242	0.296911	-0.002356	-10.979	1	605.136
243	0.292760	-0.004151	-11.224	1	595.205
244	0.291130	-0.001631	-11.068	1	584.697
245	0.289141	-0.001989	-10.964	1	574.270
246	0.286058	-0.003083	-11.034	1	563.837
247	0.285465	-0.000592	-10.706	1	553.115
248	0.283952	-0.001514	-10.514	1	542.755
