isotype long_id_threshold long_cluster_threshold long_coverage_threshold cov_threshold count_threshold cluster_threshold both short_only long_only accuracy accuracy_short
DL238 95 9 60 0.3 9 12000 2675 704 817 0.637511916110582 0.791654335602249
DL238 95 9 60 0.3 9 15000 2623 483 869 0.659874213836478 0.844494526722473
DL238 95 9 60 0.3 12 6000 2655 1123 837 0.575297941495125 0.70275277924828
DL238 95 9 60 0.3 12 9000 2621 655 871 0.632023149264529 0.80006105006105
DL238 95 9 60 0.3 12 12000 2521 503 971 0.631038798498123 0.833664021164021
DL238 95 9 60 0.3 12 15000 2459 319 1033 0.645237470480189 0.885169186465083
DL238 95 9 60 0.3 15 6000 2560 747 932 0.603916017928757 0.774115512549138
DL238 95 9 60 0.3 15 9000 2515 427 977 0.641745343199796 0.854860639021074
DL238 95 9 60 0.3 15 12000 2393 302 1099 0.630732735898788 0.887940630797774
DL238 95 9 60 0.3 15 15000 2267 200 1225 0.614030335861322 0.918929874341305
DL238 95 9 60 0.3 18 6000 2481 559 1011 0.612441372500617 0.816118421052632
DL238 95 9 60 0.3 18 9000 2430 351 1062 0.63231850117096 0.87378640776699
DL238 95 9 60 0.3 18 12000 2283 253 1209 0.609612817089453 0.900236593059937
DL238 95 9 60 0.3 18 15000 2138 145 1354 0.587847126752818 0.936487078405607
DL238 95 9 60 0.3 21 6000 2413 416 1079 0.617451381780962 0.852951572993991
DL238 95 9 60 0.3 21 9000 2308 244 1184 0.617773019271949 0.904388714733542
DL238 95 9 60 0.3 21 12000 2135 147 1357 0.586699642759 0.93558282208589
DL238 95 9 60 0.3 21 15000 1985 109 1507 0.551235767842266 0.947946513849093
DL238 95 9 60 0.35 9 6000 2832 2318 660 0.487435456110155 0.549902912621359
DL238 95 9 60 0.35 9 9000 2783 1361 709 0.57345971563981 0.671573359073359
DL238 95 9 60 0.35 9 12000 2707 942 785 0.610509697789806 0.741847081392162
DL238 95 9 60 0.35 9 15000 2655 694 837 0.634257047300526 0.792773962376829
DL238 95 9 60 0.35 12 6000 2699 1524 793 0.538078149920255 0.639119109637698
DL238 95 9 60 0.35 12 9000 2646 951 846 0.595543551654288 0.735613010842369
DL238 95 9 60 0.35 12 12000 2561 664 931 0.616217516843118 0.794108527131783
DL238 95 9 60 0.35 12 15000 2509 498 983 0.628822055137845 0.834386431659461
DL238 95 9 60 0.35 15 6000 2620 998 872 0.583518930957684 0.724156992813709
DL238 95 9 60 0.35 15 9000 2556 629 936 0.62023780635768 0.802511773940345
DL238 95 9 60 0.35 15 12000 2461 440 1031 0.62589013224822 0.848328162702516
DL238 95 9 60 0.35 15 15000 2357 307 1135 0.62042642800737 0.88475975975976
DL238 95 9 60 0.35 18 6000 2540 767 952 0.596384127729514 0.768067735107348
DL238 95 9 60 0.35 18 9000 2476 505 1016 0.619464598448837 0.830593760483059
DL238 95 9 60 0.35 18 12000 2367 381 1125 0.611154144074361 0.861353711790393
DL238 95 9 60 0.35 18 15000 2233 251 1259 0.596580283195298 0.898953301127214
DL238 95 9 60 0.35 21 6000 2470 557 1022 0.610027167201778 0.81598942847704
DL238 95 9 60 0.35 21 9000 2374 380 1118 0.613119834710744 0.862018881626725
DL238 95 9 60 0.35 21 12000 2244 259 1248 0.598240469208211 0.896524170994806
DL238 95 9 60 0.35 21 15000 2106 212 1386 0.568574514038877 0.908541846419327
DL238 95 9 60 0.4 9 6000 2860 3098 632 0.433990895295903 0.480026854649211
DL238 95 9 60 0.4 9 9000 2834 2003 658 0.515741583257507 0.585900351457515
DL238 95 9 60 0.4 9 12000 2768 1409 724 0.564782697408692 0.662676562125928
DL238 95 9 60 0.4 9 15000 2690 1027 802 0.595264439035185 0.723701910142588
DL238 95 9 60 0.4 12 6000 2726 2068 766 0.490287769784173 0.568627450980392
DL238 95 9 60 0.4 12 9000 2705 1401 787 0.552830574289802 0.658792011690209
DL238 95 9 60 0.4 12 12000 2630 1000 862 0.585485307212823 0.724517906336088
DL238 95 9 60 0.4 12 15000 2556 753 936 0.602120141342756 0.772438803263826
DL238 95 9 60 0.4 15 6000 2651 1309 841 0.552176629868777 0.669444444444444
DL238 95 9 60 0.4 15 9000 2624 874 868 0.601007787448465 0.750142938822184
DL238 95 9 60 0.4 15 12000 2541 592 951 0.622184133202742 0.811043728056176
DL238 95 9 60 0.4 15 15000 2407 423 1085 0.614814814814815 0.850530035335689
DL238 95 9 60 0.4 18 6000 2575 1006 917 0.572476656291685 0.719072884669087
DL238 95 9 60 0.4 18 9000 2540 675 952 0.609551235901128 0.7900466562986
DL238 95 9 60 0.4 18 12000 2460 513 1032 0.614232209737828 0.82744702320888
DL238 95 9 60 0.4 18 15000 2310 369 1182 0.598290598290598 0.862262038073908
DL238 95 9 60 0.4 21 6000 2512 762 980 0.590503055947344 0.767257177764203
DL238 95 9 60 0.4 21 9000 2463 525 1029 0.613144137415982 0.82429718875502
DL238 95 9 60 0.4 21 12000 2350 385 1142 0.606138767087955 0.859232175502742
DL238 95 9 60 0.4 21 15000 2217 296 1275 0.585269271383316 0.882212495025866
DL238 95 9 60 0.45 9 6000 2896 4357 596 0.368964199261052 0.399283055287467
DL238 95 9 60 0.45 9 9000 2871 3160 621 0.431599518941672 0.47604045763555
DL238 95 9 60 0.45 9 12000 2790 2184 702 0.49154334038055 0.560916767189385
DL238 95 9 60 0.45 9 15000 2719 1571 773 0.537033379419317 0.633799533799534
DL238 95 9 60 0.45 12 6000 2760 2810 732 0.437956204379562 0.495511669658887
DL238 95 9 60 0.45 12 9000 2733 2072 759 0.491193386053199 0.568782518210198
DL238 95 9 60 0.45 12 12000 2656 1534 836 0.528452049343414 0.633890214797136
DL238 95 9 60 0.45 12 15000 2576 1170 916 0.552552552552553 0.687666844634277
DL238 95 9 60 0.45 15 6000 2673 1899 819 0.495826377295493 0.584645669291339
DL238 95 9 60 0.45 15 9000 2642 1343 850 0.546432264736298 0.662986198243413
DL238 95 9 60 0.45 15 12000 2566 951 926 0.57753769975242 0.729599090133637
DL238 95 9 60 0.45 15 15000 2448 671 1044 0.588037472976219 0.784866944533504
DL238 95 9 60 0.45 18 6000 2604 1445 888 0.527445817297954 0.643121758458879
DL238 95 9 60 0.45 18 9000 2567 1041 925 0.56629163909111 0.711474501108647
DL238 95 9 60 0.45 18 12000 2500 807 992 0.581530588508956 0.755972180223768
DL238 95 9 60 0.45 18 15000 2380 553 1112 0.588380716934487 0.81145584725537
DL238 95 9 60 0.45 21 6000 2556 1114 936 0.554928354320452 0.696457765667575
DL238 95 9 60 0.45 21 9000 2498 808 994 0.58093023255814 0.755595886267393
DL238 95 9 60 0.45 21 12000 2414 617 1078 0.587490873691896 0.796436819531508
DL238 95 9 60 0.45 21 15000 2298 431 1194 0.585776191690033 0.842066691095639
ECA36 95 9 60 0.25 9 6000 4346 3232 809 0.518182902110409 0.573502243335973
ECA36 95 9 60 0.25 9 9000 4258 2273 897 0.573236402800215 0.651967539427347
ECA36 95 9 60 0.25 9 12000 4133 1682 1022 0.604504899809858 0.710748065348237
ECA36 95 9 60 0.25 9 15000 3949 1246 1206 0.616934853929074 0.760153994225217
ECA36 95 9 60 0.25 12 6000 4198 2210 957 0.569993211133741 0.655118601747815
ECA36 95 9 60 0.25 12 9000 4069 1524 1086 0.609222937565504 0.727516538530306
ECA36 95 9 60 0.25 12 12000 3966 1124 1189 0.631629240324893 0.779174852652259
ECA36 95 9 60 0.25 12 15000 3696 733 1459 0.627717391304348 0.834499887107699
ECA36 95 9 60 0.25 15 6000 4045 1550 1110 0.603281133482476 0.722966934763181
ECA36 95 9 60 0.25 15 9000 3879 980 1276 0.632273838630807 0.798312409960897
ECA36 95 9 60 0.25 15 12000 3716 678 1439 0.637064975141437 0.845698680018207
ECA36 95 9 60 0.25 15 15000 3491 452 1664 0.622614588906724 0.885366472229267
ECA36 95 9 60 0.25 18 6000 3858 1047 1297 0.622057400838439 0.786544342507645
ECA36 95 9 60 0.25 18 9000 3674 700 1481 0.627497865072588 0.839963420210334
ECA36 95 9 60 0.25 18 12000 3490 456 1665 0.621992514703261 0.884439939178915
ECA36 95 9 60 0.25 18 15000 3298 296 1857 0.605026600623739 0.917640511964385
ECA36 95 9 60 0.25 21 6000 3619 719 1536 0.616104868913858 0.834255417242969
ECA36 95 9 60 0.25 21 9000 3404 429 1751 0.609598853868195 0.888077224106444
ECA36 95 9 60 0.25 21 12000 3197 274 1958 0.588874562534537 0.921060213195045
ECA36 95 9 60 0.25 21 15000 3016 207 2139 0.562476687803059 0.935774123487434
ECA36 95 9 60 0.3 9 6000 4374 3395 781 0.511578947368421 0.563006821984811
ECA36 95 9 60 0.3 9 9000 4319 2385 836 0.572811671087533 0.644242243436754
ECA36 95 9 60 0.3 9 12000 4220 1768 935 0.609562328470316 0.704742818971276
ECA36 95 9 60 0.3 9 15000 4040 1297 1115 0.626162430254185 0.756979576541128
ECA36 95 9 60 0.3 12 6000 4275 2337 880 0.570608649225841 0.646551724137931
ECA36 95 9 60 0.3 12 9000 4183 1594 972 0.619795525263002 0.724078241301714
